postOver,addressOver,cityOver
1000 Ljubljana,Cesta v Mestni log 55,
1000 Ljubljana,Metelkova 15,
1000 Ljubljana,Preglov trg 14,
1000 Ljubljana,Rakovniška ulica 4,
1000 Ljubljana,Ulica bratov Babnik 10,
1000 Ljubljana,Zdravstvena pot 1,
1000 Ljubljana,Čufarjeva ulica 11,
1218 Komenda,Glavarjeva cesta 61a,
1231 Ljubljana-Črnuče,Primožičeva ulica 2,
1235 Radomlje,Kamniška cesta 24,Zgornje Jarše
1235 Radomlje,Kamniška cesta 24d,Zgornje Jarše
1236 Trzin,Ljubljanska cesta 12,
1236 Trzin,Mengeška 7b,
1251 Moravče,Vegova ulica 22,
1292 Ig,Banija 4,
1292 Ig pri Ljubljani,Banija 4,
1311 Turjak,Laporje 30,
1312 Videm - Dobrepolje,Videm 37 a,
1315 Velike Lašče,Javorškova ulica 9,
1317 Sodražica,Cesta Notranjskega odreda 16,
1318 Loški Potok,Hrib-Loški Potok 102,
1352 Preserje,Jezero 1,
1353 Borovnica,Mejačeva ulica 3,
1354 Horjul,Slovenska cesta 17,
1358 Log pri Brezovici,Loška cesta 12,
1358 Log pri Brezovici,Šolska ulica 1,
1360 Vrhnika,Lošca 1,
1360 Vrhnika,Stara cesta 4a,
1360 Vrhnika,Stara cesta 7,
1432 Zidani Most,Zidani most 9,
2000 Maribor,Kalohova ulica 18,
2000 Maribor,Turnerjeva ulica 33,
2000 Maribor,Ulica Kneza Koclja 10,
2000 Maribor,Zagrebška cesta 84a,
2205,Starše 78c,Starše
2231 Pernica,Pernica 8,
2235 Sv. Trojica,Trojiški trg 26,
2236 Cerkvenjak,Cerkvenjak 30,
2283 Zavrč,Goričak 7,
2311 Hoče,Bohovska cesta 7,
2319 Poljčane,Bistriška cesta 62,
2322 Majšperk,Breg 6A,
2327,Nova ulica 3,Rače
2344 LOVRENC NA POHORJU,GORNJI TRG 37,
2351 Kamnica,Vrbanska cesta 97,
2363 Podvelka,Podvelka 13,
2391 Prevalje,Trg 58a,
3000 Celje,Gregorčičeva ulica 5,
3256 Bistrica ob Sotli,Bistrica ob Sotli 7,
3272 Rimske Toplice,Aškerčeva cesta 4,
3301 Petrovče,Petrovče 33,
3305 Vransko,Vransko 130d,
3314 Braslovče,Braslovče 29,
3325 Šoštanj,Trg Jožeta Lampreta 1,
3330 Mozirje,Savinjska cesta 6,
3333 Ljubno ob Savinji,Foršt 28,
3333 Ljubno ob Savinji,Foršt 55,
3334 Luče ob Savinji,Luče 106,
3342 Gornji Grad,Tlaka 10,
4000 Kranj,Ljubljanska cesta 24A,
4000 Kranj,Škofjeloška cesta 6,
4000 Kranj,Žanova ulica 3,
4204 Golnik,Golnik 36,
4206 Zgornje Jezersko,Zgornje Jezersko 82,
4220 Škofja Loka,Stara cesta 10,
4224 Gorenja vas,Trata 7,
4224 Gorenja vas,Trata 7a,
4226 Žiri,Trg svobode 9,
4228 Železniki,Racovnik 29,
4240 Radovljica,Kopališka cesta 7,
4248 Lesce,Železniška ulica 10,
4264 Bohinjska Bistrica,Triglavska cesta 15,
5213 Kanal,Morsko 1,
5231 Kanal,Morsko 1,
5253 Čepovan,Čepovan 90,
5271 Vipava,Beblerjeva ulica 5,
5282 Cerkno,Ličarjeva ulica 5,
5290 Šempeter pri Gorici,Cesta prekomorskih brigad 25,
5291 Miren,Miren 137,
5292 Renče,Trg 25,
6210 Sežana,Partizanska cesta 73b,
6210 Sežana,Ulica Ivana Turšiča 6,
6215 Divača,Ulica 1. maja 1,
6223 Komen,Komen 94,
6230 Postojna,Kolodvorska cesta 25,
6257 Pivka,Kolodvorska cesta 24,
6330 Piran,Cankarjevo nabrežje 9a,
6333 Sečovlje,Sečovlje 44,
8000 Novo mesto,Šmarješka cesta 44,
8216 Mirna Peč,Trg 2,
8232 Šentrupert,Šentrupert 124,
8233 Mirna,Cesta na Fužine 10,
8270 Krško,Cesta krških žrtev 132C,
9000 Murska Sobota,Cvetkova ulica 10,Murska Sobota
9000 Murska Sobota,Lendavska ulica 18,Murska Sobota
9000 Murska Sobota,Mladinska ulica 10,Murska Sobota
9201 Puconci,Puconci 150,
9220 Lendava - Lendva,Mlinska ulica 6,Lendava
